YÖP_Kodu,YÖP_Linki,Üniversite,Fakülte,Bölüm,Bölüm_Linki,Şehir,Üniversite_Türü,Puan_Türü,Öğrenim_Süresi,Ücret,Kontenjan_2024,Kontenjan_2023,Kontenjan_2022,Yerleşen_2024,Yerleşen_2023,Yerleşen_2022,Sıralama_2024,Sıralama_2023,Sıralama_2022,Taban_Puan_2024,Taban_Puan_2023,Taban_Puan_2022,YKS_Net_Linki
203851897,https://yokatlas.yok.gov.tr/lisans.php?y=203851897,KAPADOKYA ÜNİVERSİTESİ,Diş Hekimliği Fakültesi,Diş Hekimliği (Burslu),https://kapadokya.edu.tr/akademik/dis-hekimligi-fakultesi/dis-hekimligi,Nevşehir,VAKIF,SAY,5,,12,10,12,12,10,12,42615,41445,40381,444.61,468.96,469.16,https://yokatlas.yok.gov.tr/lisans-panel.php?y=203851897&p=1210a&pr=1
203850972,https://yokatlas.yok.gov.tr/onlisans.php?y=203850972,KAPADOKYA ÜNİVERSİTESİ,Kapadokya Meslek Yüksekokulu,Uçak Teknolojisi (İstanbul) (Burslu),https://kapadokya.edu.tr/akademik/kapadokya-meslek-yuksekokulu/ucak-teknolojisi,Nevşehir,VAKIF,TYT,2,,6,6,7,6,6,7,175186,194861,244492,405.75,399.55,382.62,https://yokatlas.yok.gov.tr/onlisans-panel.php?y=203850972&p=3210a&pr=1
203851896,https://yokatlas.yok.gov.tr/lisans.php?y=203851896,KAPADOKYA ÜNİVERSİTESİ,Diş Hekimliği Fakültesi,Diş Hekimliği (Ücretli),https://kapadokya.edu.tr/akademik/dis-hekimligi-fakultesi/dis-hekimligi,Nevşehir,VAKIF,SAY,5,450.000 TL,76,68,68,74,54,68,79747,79795,70146,402.75,427.48,434.97,https://yokatlas.yok.gov.tr/lisans-panel.php?y=203851896&p=1210a&pr=1
203851892,https://yokatlas.yok.gov.tr/lisans.php?y=203851892,KAPADOKYA ÜNİVERSİTESİ,Beşeri Bilimler Fakültesi,İngilizce Mütercim ve Tercümanlık (Burslu),https://kapadokya.edu.tr/akademik/beseri-bilimler-fakultesi/ingilizce-mutercim-ve-tercumanlik,Nevşehir,VAKIF,DİL,4,,8,8,8,8,7,8,30726,33666,32276,385,387.28,376.44,https://yokatlas.yok.gov.tr/lisans-panel.php?y=203851892&p=1210a&pr=1
203851467,https://yokatlas.yok.gov.tr/onlisans.php?y=203851467,KAPADOKYA ÜNİVERSİTESİ,Kapadokya Meslek Yüksekokulu,Turist Rehberliği (Uzaktan Öğretim) (Burslu),https://kapadokya.edu.tr/akademik/kapadokya-meslek-yuksekokulu/turist-rehberligi,Nevşehir,VAKIF,TYT,2,,26,21,24,26,21,24,247856,255407,242899,383.29,382.62,383.06,https://yokatlas.yok.gov.tr/onlisans-panel.php?y=203851467&p=3210a&pr=1
203851837,https://yokatlas.yok.gov.tr/lisans.php?y=203851837,KAPADOKYA ÜNİVERSİTESİ,Beşeri Bilimler Fakültesi,İngiliz Dili ve Edebiyatı (İngilizce) (Burslu),https://kapadokya.edu.tr/akademik/beseri-bilimler-fakultesi/ingiliz-dili-ve-edebiyati,Nevşehir,VAKIF,DİL,4,,9,9,8,9,8,8,32745,37098,34368,380.44,379.25,370.81,https://yokatlas.yok.gov.tr/lisans-panel.php?y=203851837&p=1210a&pr=1
203851860,https://yokatlas.yok.gov.tr/lisans.php?y=203851860,KAPADOKYA ÜNİVERSİTESİ,Uygulamalı Bilimler Yüksekokulu,Gastronomi ve Mutfak Sanatları (Burslu),https://kapadokya.edu.tr/akademik/uygulamali-bilimler-yuksekokulu/gastronomi-ve-mutfak-sanatlari,Nevşehir,VAKIF,SÖZ,4,,11,11,11,11,11,11,69242,77194,69446,376.64,362.52,366.7,https://yokatlas.yok.gov.tr/lisans-panel.php?y=203851860&p=1210a&pr=1
203850893,https://yokatlas.yok.gov.tr/onlisans.php?y=203850893,KAPADOKYA ÜNİVERSİTESİ,Kapadokya Meslek Yüksekokulu,Uçak Teknolojisi (Burslu),https://kapadokya.edu.tr/akademik/kapadokya-meslek-yuksekokulu/ucak-teknolojisi,Nevşehir,VAKIF,TYT,2,,10,10,11,10,10,11,293439,343906,366689,372.28,363.61,355.07,https://yokatlas.yok.gov.tr/onlisans-panel.php?y=203850893&p=3210a&pr=1
203851900,https://yokatlas.yok.gov.tr/lisans.php?y=203851900,KAPADOKYA ÜNİVERSİTESİ,Uygulamalı Bilimler Yüksekokulu,Uçak Gövde ve Motor Bakımı (Burslu),https://kapadokya.edu.tr/akademik/uygulamali-bilimler-yuksekokulu/ucak-govde-ve-motor-bakimi,Nevşehir,VAKIF,SAY,4,,10,7,7,10,7,7,117808,129183,151377,370.14,385.87,365.12,https://yokatlas.yok.gov.tr/lisans-panel.php?y=203851900&p=1210a&pr=1
203851880,https://yokatlas.yok.gov.tr/lisans.php?y=203851880,KAPADOKYA ÜNİVERSİTESİ,Sağlık Bilimleri Yüksekokulu,Dil ve Konuşma Terapisi (Burslu),https://lisansustu.kapadokya.edu.tr/orgun-yuksek-lisans-programlari/dil-ve-konusma-terapisi/,Nevşehir,VAKIF,SAY,4,,10,10,12,10,10,12,130568,147251,123497,361.12,373.56,385.36,https://yokatlas.yok.gov.tr/lisans-panel.php?y=203851880&p=1210a&pr=1
